データ日付,終値,始値,高値,安値
"2018/07/25","22614.25","22594.28","22645.66","22547.14"
"2018/07/26","22586.87","22711.59","22717.15","22549.77"
"2018/07/27","22712.75","22646.48","22712.75","22593.20"
"2018/07/30","22544.84","22613.30","22631.32","22518.94"
"2018/07/31","22553.72","22472.12","22678.06","22352.21"
"2018/08/01","22746.70","22642.18","22775.47","22615.98"
"2018/08/02","22512.53","22676.73","22754.73","22464.81"
"2018/08/03","22525.18","22585.54","22613.50","22490.57"
"2018/08/06","22507.32","22536.05","22635.68","22486.74"
"2018/08/07","22662.74","22514.31","22666.68","22499.05"
"2018/08/08","22644.31","22666.56","22800.61","22610.29"
"2018/08/09","22598.39","22591.54","22648.88","22497.99"
"2018/08/10","22298.08","22606.91","22608.86","22272.69"
"2018/08/13","21857.43","22117.57","22124.60","21851.32"
"2018/08/14","22356.08","22053.07","22356.08","22047.19"
"2018/08/15","22204.22","22368.12","22380.28","22110.29"
"2018/08/16","22192.04","21980.82","22240.42","21871.70"
"2018/08/17","22270.38","22313.19","22340.95","22244.10"
"2018/08/20","22199.00","22267.07","22288.31","22150.75"
"2018/08/21","22219.73","22110.54","22306.83","22053.14"
"2018/08/22","22362.55","22270.04","22390.20","22162.81"
"2018/08/23","22410.82","22420.67","22463.03","22377.88"
"2018/08/24","22601.77","22484.01","22602.24","22452.42"
"2018/08/27","22799.64","22693.69","22838.06","22682.39"
"2018/08/28","22813.47","22967.74","23006.77","22813.47"
"2018/08/29","22848.22","22820.86","22968.18","22819.97"
"2018/08/30","22869.50","23020.18","23032.17","22832.83"
"2018/08/31","22865.15","22733.25","22890.61","22678.03"
"2018/09/03","22707.38","22819.17","22820.48","22684.43"
"2018/09/04","22696.90","22740.05","22753.18","22612.15"
"2018/09/05","22580.83","22663.80","22692.25","22570.52"
"2018/09/06","22487.94","22458.97","22535.34","22416.63"
"2018/09/07","22307.06","22351.84","22372.89","22172.90"
"2018/09/10","22373.09","22253.65","22396.88","22249.61"
"2018/09/11","22664.69","22469.78","22667.85","22457.10"
"2018/09/12","22604.61","22702.71","22709.37","22522.17"
"2018/09/13","22821.32","22657.95","22858.41","22643.88"
"2018/09/14","23094.67","23035.78","23105.28","22965.48"
"2018/09/18","23420.54","23042.19","23481.53","23039.26"
"2018/09/19","23672.52","23754.96","23842.05","23672.52"
"2018/09/20","23674.93","23752.79","23781.75","23582.15"
"2018/09/21","23869.93","23848.63","23971.41","23764.05"
"2018/09/25","23940.26","23881.85","23950.98","23808.95"
"2018/09/26","24033.79","23846.60","24033.79","23833.92"
"2018/09/27","23796.74","23946.43","24089.32","23778.04"
"2018/09/28","24120.04","24080.01","24286.10","24021.27"
"2018/10/01","24245.76","24173.37","24306.54","24123.50"
"2018/10/02","24270.62","24376.17","24448.07","24217.26"
"2018/10/03","24110.96","24219.19","24260.63","24030.59"
"2018/10/04","23975.62","24242.06","24247.82","23923.26"
"2018/10/05","23783.72","23781.76","23928.62","23730.19"
"2018/10/09","23469.39","23550.47","23587.05","23442.46"
"2018/10/10","23506.04","23538.92","23589.38","23373.54"
"2018/10/11","22590.86","23043.37","23051.19","22459.02"
"2018/10/12","22694.66","22323.43","22711.13","22323.43"
"2018/10/15","22271.30","22501.33","22520.59","22261.92"
"2018/10/16","22549.24","22298.20","22549.24","22269.53"
"2018/10/17","22841.12","22806.59","22959.41","22765.58"
"2018/10/18","22658.16","22871.28","22873.13","22637.29"
"2018/10/19","22532.08","22342.00","22551.67","22212.57"
"2018/10/22","22614.82","22374.21","22672.25","22271.59"
"2018/10/23","22010.78","22404.14","22410.15","21993.07"
"2018/10/24","22091.18","22167.76","22207.09","21911.42"
"2018/10/25","21268.73","21676.83","21703.21","21204.40"
"2018/10/26","21184.60","21440.84","21476.66","20971.93"
"2018/10/29","21149.80","21323.61","21465.99","21109.97"
"2018/10/30","21457.29","21049.52","21568.40","21035.88"
"2018/10/31","21920.46","21569.56","21920.46","21530.39"
"2018/11/01","21687.65","21906.41","21906.41","21628.45"
"2018/11/02","22243.66","21761.58","22308.42","21751.33"
"2018/11/05","21898.99","22002.47","22051.65","21865.98"
"2018/11/06","22147.75","22018.87","22160.83","21994.28"
"2018/11/07","22085.80","22189.74","22444.65","21996.94"
"2018/11/08","22486.92","22446.01","22583.43","22421.00"
"2018/11/09","22250.25","22471.31","22494.58","22226.01"
"2018/11/12","22269.88","22121.70","22324.01","22046.29"
"2018/11/13","21810.52","21885.24","21892.29","21484.65"
"2018/11/14","21846.48","21851.13","21990.41","21764.88"
"2018/11/15","21803.62","21670.35","21818.73","21613.53"
"2018/11/16","21680.34","21804.90","21873.74","21663.99"
"2018/11/19","21821.16","21679.03","21852.92","21665.29"
"2018/11/20","21583.12","21582.69","21687.12","21526.95"
"2018/11/21","21507.54","21286.81","21555.61","21243.38"
"2018/11/22","21646.55","21582.47","21684.64","21484.98"
"2018/11/26","21812.00","21647.69","21838.10","21622.60"
"2018/11/27","21952.40","21967.98","22006.83","21816.05"
"2018/11/28","22177.02","22036.72","22216.98","22032.72"
"2018/11/29","22262.60","22360.98","22437.95","22241.17"
"2018/11/30","22351.06","22274.97","22362.20","22231.96"
"2018/12/03","22574.76","22629.39","22698.79","22550.29"
"2018/12/04","22036.05","22533.97","22576.62","22033.41"
"2018/12/05","21919.33","21755.17","21979.18","21708.82"
"2018/12/06","21501.62","21766.50","21805.02","21307.72"
"2018/12/07","21678.68","21643.75","21734.94","21506.45"
"2018/12/10","21219.50","21319.47","21365.78","21169.96"
